,0,1
0,"{'label': 'NEGATIVE', 'score': 0.9980689883232117}","{'label': 'NEGATIVE', 'score': 0.8684412240982056}"
1,"{'label': 'POSITIVE', 'score': 0.9791042804718018}","{'label': 'NEGATIVE', 'score': 0.9995095729827881}"
2,"{'label': 'POSITIVE', 'score': 0.9765188097953796}","{'label': 'POSITIVE', 'score': 0.9989309906959534}"
3,"{'label': 'POSITIVE', 'score': 0.9856259226799011}","{'label': 'NEGATIVE', 'score': 0.9995070695877075}"
4,"{'label': 'POSITIVE', 'score': 0.9880510568618774}","{'label': 'NEGATIVE', 'score': 0.9995096921920776}"
5,"{'label': 'POSITIVE', 'score': 0.9962224960327148}","{'label': 'NEGATIVE', 'score': 0.9995051622390747}"
6,"{'label': 'POSITIVE', 'score': 0.9897084832191467}","{'label': 'NEGATIVE', 'score': 0.9995061159133911}"
7,"{'label': 'POSITIVE', 'score': 0.9920334219932556}","{'label': 'NEGATIVE', 'score': 0.9995054006576538}"
8,"{'label': 'POSITIVE', 'score': 0.9948240518569946}","{'label': 'NEGATIVE', 'score': 0.9994576573371887}"
9,"{'label': 'POSITIVE', 'score': 0.9941044449806213}","{'label': 'NEGATIVE', 'score': 0.9994000196456909}"
10,"{'label': 'POSITIVE', 'score': 0.9960523843765259}","{'label': 'NEGATIVE', 'score': 0.9995094537734985}"
11,"{'label': 'POSITIVE', 'score': 0.9889978766441345}","{'label': 'NEGATIVE', 'score': 0.9995167255401611}"
12,"{'label': 'POSITIVE', 'score': 0.983647882938385}","{'label': 'NEGATIVE', 'score': 0.9994964599609375}"
13,"{'label': 'POSITIVE', 'score': 0.9910992980003357}","{'label': 'POSITIVE', 'score': 0.9989070892333984}"
14,"{'label': 'POSITIVE', 'score': 0.9854974150657654}","{'label': 'NEGATIVE', 'score': 0.9995077848434448}"
15,"{'label': 'POSITIVE', 'score': 0.9930229187011719}","{'label': 'NEGATIVE', 'score': 0.991733193397522}"
16,"{'label': 'POSITIVE', 'score': 0.987947404384613}","{'label': 'NEGATIVE', 'score': 0.9994797110557556}"
17,"{'label': 'POSITIVE', 'score': 0.9872086644172668}","{'label': 'NEGATIVE', 'score': 0.9995080232620239}"
18,"{'label': 'POSITIVE', 'score': 0.9910047054290771}","{'label': 'NEGATIVE', 'score': 0.9995067119598389}"
19,"{'label': 'POSITIVE', 'score': 0.9922189712524414}","{'label': 'POSITIVE', 'score': 0.9987618923187256}"
20,"{'label': 'POSITIVE', 'score': 0.993965208530426}","{'label': 'POSITIVE', 'score': 0.9989209175109863}"
21,"{'label': 'POSITIVE', 'score': 0.9909215569496155}","{'label': 'POSITIVE', 'score': 0.9988386034965515}"
22,"{'label': 'POSITIVE', 'score': 0.9934905767440796}","{'label': 'NEGATIVE', 'score': 0.9995102882385254}"
23,"{'label': 'POSITIVE', 'score': 0.9900857210159302}","{'label': 'POSITIVE', 'score': 0.9989196062088013}"
24,"{'label': 'POSITIVE', 'score': 0.9884483218193054}","{'label': 'POSITIVE', 'score': 0.9986339211463928}"
25,"{'label': 'POSITIVE', 'score': 0.9878243207931519}","{'label': 'POSITIVE', 'score': 0.9989123344421387}"
26,"{'label': 'POSITIVE', 'score': 0.991046130657196}","{'label': 'NEGATIVE', 'score': 0.9995090961456299}"
27,"{'label': 'POSITIVE', 'score': 0.9811164140701294}","{'label': 'NEGATIVE', 'score': 0.9995081424713135}"
28,"{'label': 'POSITIVE', 'score': 0.9873371720314026}","{'label': 'NEGATIVE', 'score': 0.9994726777076721}"
29,"{'label': 'POSITIVE', 'score': 0.9898071885108948}","{'label': 'POSITIVE', 'score': 0.9988980293273926}"
30,"{'label': 'POSITIVE', 'score': 0.9811806678771973}","{'label': 'NEGATIVE', 'score': 0.9994235038757324}"
31,"{'label': 'POSITIVE', 'score': 0.9644129872322083}","{'label': 'NEGATIVE', 'score': 0.9995098114013672}"
32,"{'label': 'POSITIVE', 'score': 0.9927029609680176}","{'label': 'NEGATIVE', 'score': 0.9994615912437439}"
33,"{'label': 'POSITIVE', 'score': 0.9885003566741943}","{'label': 'NEGATIVE', 'score': 0.9995088577270508}"
34,"{'label': 'POSITIVE', 'score': 0.9928855299949646}","{'label': 'NEGATIVE', 'score': 0.9995105266571045}"
35,"{'label': 'POSITIVE', 'score': 0.984887421131134}","{'label': 'POSITIVE', 'score': 0.9988890290260315}"
36,"{'label': 'POSITIVE', 'score': 0.9838566780090332}","{'label': 'NEGATIVE', 'score': 0.9994762539863586}"
37,"{'label': 'POSITIVE', 'score': 0.9874588251113892}","{'label': 'POSITIVE', 'score': 0.9989113807678223}"
38,"{'label': 'POSITIVE', 'score': 0.9773023128509521}","{'label': 'NEGATIVE', 'score': 0.9994555115699768}"
39,"{'label': 'POSITIVE', 'score': 0.9853298664093018}","{'label': 'POSITIVE', 'score': 0.9988920092582703}"
40,"{'label': 'POSITIVE', 'score': 0.99446702003479}","{'label': 'POSITIVE', 'score': 0.9988679885864258}"
41,"{'label': 'POSITIVE', 'score': 0.992478609085083}","{'label': 'NEGATIVE', 'score': 0.9995076656341553}"
42,"{'label': 'POSITIVE', 'score': 0.9956179857254028}","{'label': 'NEGATIVE', 'score': 0.9995046854019165}"
43,"{'label': 'POSITIVE', 'score': 0.994454562664032}","{'label': 'POSITIVE', 'score': 0.998598039150238}"
44,"{'label': 'POSITIVE', 'score': 0.9952560067176819}","{'label': 'NEGATIVE', 'score': 0.9995063543319702}"
45,"{'label': 'POSITIVE', 'score': 0.9902593493461609}","{'label': 'NEGATIVE', 'score': 0.9995114803314209}"
46,"{'label': 'POSITIVE', 'score': 0.9936645030975342}","{'label': 'NEGATIVE', 'score': 0.9994988441467285}"
47,"{'label': 'POSITIVE', 'score': 0.9923887848854065}","{'label': 'NEGATIVE', 'score': 0.999505877494812}"
48,"{'label': 'POSITIVE', 'score': 0.9877675771713257}","{'label': 'POSITIVE', 'score': 0.9988572597503662}"
49,"{'label': 'POSITIVE', 'score': 0.9849350452423096}","{'label': 'POSITIVE', 'score': 0.9989222288131714}"
50,"{'label': 'POSITIVE', 'score': 0.9872199296951294}","{'label': 'POSITIVE', 'score': 0.9987422823905945}"
51,"{'label': 'POSITIVE', 'score': 0.9857783317565918}","{'label': 'POSITIVE', 'score': 0.998930037021637}"
52,"{'label': 'POSITIVE', 'score': 0.986696183681488}","{'label': 'POSITIVE', 'score': 0.9989153146743774}"
53,"{'label': 'POSITIVE', 'score': 0.9233965277671814}","{'label': 'NEGATIVE', 'score': 0.9995061159133911}"
54,"{'label': 'POSITIVE', 'score': 0.9509027004241943}","{'label': 'POSITIVE', 'score': 0.9988934397697449}"
55,"{'label': 'POSITIVE', 'score': 0.9898179173469543}","{'label': 'POSITIVE', 'score': 0.99339359998703}"
56,"{'label': 'POSITIVE', 'score': 0.99017333984375}","{'label': 'POSITIVE', 'score': 0.9989215135574341}"
57,"{'label': 'POSITIVE', 'score': 0.9856045246124268}","{'label': 'NEGATIVE', 'score': 0.9994919300079346}"
58,"{'label': 'POSITIVE', 'score': 0.9791394472122192}","{'label': 'POSITIVE', 'score': 0.9948686361312866}"
59,"{'label': 'POSITIVE', 'score': 0.9796229004859924}","{'label': 'POSITIVE', 'score': 0.9401611089706421}"
60,"{'label': 'POSITIVE', 'score': 0.9865840077400208}","{'label': 'NEGATIVE', 'score': 0.9995063543319702}"
61,"{'label': 'POSITIVE', 'score': 0.9920344948768616}","{'label': 'POSITIVE', 'score': 0.9989012479782104}"
62,"{'label': 'POSITIVE', 'score': 0.9914841055870056}","{'label': 'POSITIVE', 'score': 0.9989398121833801}"
63,"{'label': 'POSITIVE', 'score': 0.9908387064933777}","{'label': 'NEGATIVE', 'score': 0.9994927644729614}"
64,"{'label': 'POSITIVE', 'score': 0.9790889620780945}","{'label': 'POSITIVE', 'score': 0.9989204406738281}"
65,"{'label': 'NEGATIVE', 'score': 0.6788568496704102}","{'label': 'NEGATIVE', 'score': 0.9982951283454895}"
66,"{'label': 'POSITIVE', 'score': 0.8188347816467285}","{'label': 'POSITIVE', 'score': 0.9988527297973633}"
67,"{'label': 'POSITIVE', 'score': 0.9892451763153076}","{'label': 'NEGATIVE', 'score': 0.9995075464248657}"
68,"{'label': 'POSITIVE', 'score': 0.9804978370666504}","{'label': 'NEGATIVE', 'score': 0.9994997978210449}"
69,"{'label': 'POSITIVE', 'score': 0.8074144124984741}","{'label': 'NEGATIVE', 'score': 0.9995067119598389}"
70,"{'label': 'POSITIVE', 'score': 0.9506815671920776}","{'label': 'NEGATIVE', 'score': 0.9995110034942627}"
71,"{'label': 'POSITIVE', 'score': 0.9877320528030396}","{'label': 'NEGATIVE', 'score': 0.996863603591919}"
72,"{'label': 'POSITIVE', 'score': 0.9600360989570618}","{'label': 'POSITIVE', 'score': 0.9988182187080383}"
73,"{'label': 'POSITIVE', 'score': 0.9843066930770874}","{'label': 'POSITIVE', 'score': 0.9988653659820557}"
74,"{'label': 'POSITIVE', 'score': 0.9817460775375366}","{'label': 'POSITIVE', 'score': 0.9989295601844788}"
75,"{'label': 'POSITIVE', 'score': 0.9403578639030457}","{'label': 'POSITIVE', 'score': 0.9988691210746765}"
76,"{'label': 'POSITIVE', 'score': 0.726447343826294}","{'label': 'POSITIVE', 'score': 0.9988816380500793}"
77,"{'label': 'POSITIVE', 'score': 0.9932543635368347}","{'label': 'POSITIVE', 'score': 0.998894989490509}"
78,"{'label': 'POSITIVE', 'score': 0.9940699338912964}","{'label': 'NEGATIVE', 'score': 0.9995068311691284}"
79,"{'label': 'NEGATIVE', 'score': 0.8752257227897644}","{'label': 'POSITIVE', 'score': 0.9988792538642883}"
80,"{'label': 'POSITIVE', 'score': 0.9946942925453186}","{'label': 'NEGATIVE', 'score': 0.999502420425415}"
81,"{'label': 'POSITIVE', 'score': 0.8728657364845276}","{'label': 'POSITIVE', 'score': 0.9989351630210876}"
82,"{'label': 'POSITIVE', 'score': 0.9932108521461487}","{'label': 'POSITIVE', 'score': 0.9989018440246582}"
83,"{'label': 'POSITIVE', 'score': 0.9910466074943542}","{'label': 'NEGATIVE', 'score': 0.998030960559845}"
84,"{'label': 'POSITIVE', 'score': 0.9918328523635864}","{'label': 'NEGATIVE', 'score': 0.9994895458221436}"
85,"{'label': 'POSITIVE', 'score': 0.9850856065750122}","{'label': 'POSITIVE', 'score': 0.9989186525344849}"
86,"{'label': 'POSITIVE', 'score': 0.9960293769836426}","{'label': 'POSITIVE', 'score': 0.9989295601844788}"
87,"{'label': 'POSITIVE', 'score': 0.9961380362510681}","{'label': 'NEGATIVE', 'score': 0.9994760155677795}"
88,"{'label': 'POSITIVE', 'score': 0.9930257797241211}","{'label': 'POSITIVE', 'score': 0.9977496266365051}"
89,"{'label': 'POSITIVE', 'score': 0.9897543787956238}","{'label': 'NEGATIVE', 'score': 0.9995092153549194}"
90,"{'label': 'POSITIVE', 'score': 0.995498538017273}","{'label': 'NEGATIVE', 'score': 0.9995098114013672}"
91,"{'label': 'POSITIVE', 'score': 0.9900912046432495}","{'label': 'NEGATIVE', 'score': 0.9995081424713135}"
92,"{'label': 'POSITIVE', 'score': 0.9914344549179077}","{'label': 'NEGATIVE', 'score': 0.9995027780532837}"
93,"{'label': 'POSITIVE', 'score': 0.9707909226417542}","{'label': 'NEGATIVE', 'score': 0.9994121789932251}"
94,"{'label': 'POSITIVE', 'score': 0.9835163950920105}","{'label': 'NEGATIVE', 'score': 0.9994658827781677}"
95,"{'label': 'NEGATIVE', 'score': 0.9853160977363586}","{'label': 'POSITIVE', 'score': 0.9989351630210876}"
96,"{'label': 'POSITIVE', 'score': 0.9776211380958557}","{'label': 'POSITIVE', 'score': 0.9988759160041809}"
97,"{'label': 'POSITIVE', 'score': 0.9830166697502136}","{'label': 'NEGATIVE', 'score': 0.9994878768920898}"
98,"{'label': 'POSITIVE', 'score': 0.982628345489502}","{'label': 'POSITIVE', 'score': 0.998903751373291}"
99,"{'label': 'NEGATIVE', 'score': 0.9731773734092712}","{'label': 'NEGATIVE', 'score': 0.9995108842849731}"
100,"{'label': 'POSITIVE', 'score': 0.9969483017921448}","{'label': 'NEGATIVE', 'score': 0.9995087385177612}"
101,"{'label': 'POSITIVE', 'score': 0.9909297823905945}","{'label': 'NEGATIVE', 'score': 0.9995089769363403}"
102,"{'label': 'POSITIVE', 'score': 0.9892438650131226}","{'label': 'NEGATIVE', 'score': 0.9994895458221436}"
103,"{'label': 'POSITIVE', 'score': 0.993238091468811}","{'label': 'NEGATIVE', 'score': 0.9957864880561829}"
104,"{'label': 'POSITIVE', 'score': 0.9960236549377441}","{'label': 'POSITIVE', 'score': 0.9987176656723022}"
105,"{'label': 'POSITIVE', 'score': 0.9888980984687805}","{'label': 'NEGATIVE', 'score': 0.9986953139305115}"
106,"{'label': 'POSITIVE', 'score': 0.9837221503257751}","{'label': 'POSITIVE', 'score': 0.9989084005355835}"
107,"{'label': 'POSITIVE', 'score': 0.9779637455940247}","{'label': 'POSITIVE', 'score': 0.9988368153572083}"
108,"{'label': 'POSITIVE', 'score': 0.9930245876312256}","{'label': 'POSITIVE', 'score': 0.9988254904747009}"
109,"{'label': 'POSITIVE', 'score': 0.9923377633094788}","{'label': 'NEGATIVE', 'score': 0.9982529282569885}"
110,"{'label': 'POSITIVE', 'score': 0.9920316934585571}","{'label': 'POSITIVE', 'score': 0.998920202255249}"
111,"{'label': 'POSITIVE', 'score': 0.993129551410675}","{'label': 'POSITIVE', 'score': 0.9989074468612671}"
112,"{'label': 'POSITIVE', 'score': 0.989785373210907}","{'label': 'POSITIVE', 'score': 0.9988999366760254}"
113,"{'label': 'POSITIVE', 'score': 0.9819087982177734}","{'label': 'NEGATIVE', 'score': 0.9992735981941223}"
114,"{'label': 'POSITIVE', 'score': 0.9900200366973877}","{'label': 'NEGATIVE', 'score': 0.9994613528251648}"
115,"{'label': 'POSITIVE', 'score': 0.990284264087677}","{'label': 'POSITIVE', 'score': 0.9988640546798706}"
116,"{'label': 'POSITIVE', 'score': 0.9926619529724121}","{'label': 'NEGATIVE', 'score': 0.9995023012161255}"
117,"{'label': 'POSITIVE', 'score': 0.9939540028572083}","{'label': 'POSITIVE', 'score': 0.9989240765571594}"
118,"{'label': 'POSITIVE', 'score': 0.99293452501297}","{'label': 'NEGATIVE', 'score': 0.9886016249656677}"
119,"{'label': 'POSITIVE', 'score': 0.9894458651542664}","{'label': 'NEGATIVE', 'score': 0.9995063543319702}"
120,"{'label': 'POSITIVE', 'score': 0.9842329025268555}","{'label': 'POSITIVE', 'score': 0.9869733452796936}"
121,"{'label': 'POSITIVE', 'score': 0.9782271385192871}","{'label': 'POSITIVE', 'score': 0.9989344477653503}"
122,"{'label': 'POSITIVE', 'score': 0.9896865487098694}","{'label': 'NEGATIVE', 'score': 0.9995101690292358}"
123,"{'label': 'NEGATIVE', 'score': 0.9897167086601257}","{'label': 'POSITIVE', 'score': 0.9906946420669556}"
124,"{'label': 'POSITIVE', 'score': 0.98795086145401}","{'label': 'NEGATIVE', 'score': 0.9994831085205078}"
125,"{'label': 'POSITIVE', 'score': 0.9835611581802368}","{'label': 'POSITIVE', 'score': 0.9987499713897705}"
126,"{'label': 'POSITIVE', 'score': 0.9888045191764832}","{'label': 'POSITIVE', 'score': 0.994469165802002}"
127,"{'label': 'POSITIVE', 'score': 0.994061291217804}","{'label': 'NEGATIVE', 'score': 0.9994984865188599}"
128,"{'label': 'POSITIVE', 'score': 0.9800732731819153}","{'label': 'NEGATIVE', 'score': 0.9995005130767822}"
129,"{'label': 'POSITIVE', 'score': 0.9618943929672241}","{'label': 'POSITIVE', 'score': 0.9988152980804443}"
130,"{'label': 'POSITIVE', 'score': 0.9676414132118225}","{'label': 'POSITIVE', 'score': 0.9989078044891357}"
131,"{'label': 'POSITIVE', 'score': 0.9847844839096069}","{'label': 'POSITIVE', 'score': 0.9987416863441467}"
132,"{'label': 'NEGATIVE', 'score': 0.7270401120185852}","{'label': 'POSITIVE', 'score': 0.99191814661026}"
133,"{'label': 'POSITIVE', 'score': 0.9934746623039246}","{'label': 'NEGATIVE', 'score': 0.9994968175888062}"
134,"{'label': 'POSITIVE', 'score': 0.9906746745109558}","{'label': 'POSITIVE', 'score': 0.9989312291145325}"
135,"{'label': 'POSITIVE', 'score': 0.7461715340614319}","{'label': 'POSITIVE', 'score': 0.9971099495887756}"
136,"{'label': 'POSITIVE', 'score': 0.9936791062355042}","{'label': 'POSITIVE', 'score': 0.9989206790924072}"
137,"{'label': 'POSITIVE', 'score': 0.9806585311889648}","{'label': 'POSITIVE', 'score': 0.9988279938697815}"
138,"{'label': 'POSITIVE', 'score': 0.9741098284721375}","{'label': 'POSITIVE', 'score': 0.9981942772865295}"
139,"{'label': 'POSITIVE', 'score': 0.9733068943023682}","{'label': 'NEGATIVE', 'score': 0.9995017051696777}"
140,"{'label': 'POSITIVE', 'score': 0.9667719602584839}","{'label': 'POSITIVE', 'score': 0.9988749623298645}"
141,"{'label': 'POSITIVE', 'score': 0.9843388795852661}","{'label': 'NEGATIVE', 'score': 0.9993224143981934}"
142,"{'label': 'POSITIVE', 'score': 0.9921686053276062}","{'label': 'POSITIVE', 'score': 0.9988903403282166}"
143,"{'label': 'POSITIVE', 'score': 0.988930881023407}","{'label': 'POSITIVE', 'score': 0.998863935470581}"
144,"{'label': 'POSITIVE', 'score': 0.9877484440803528}","{'label': 'POSITIVE', 'score': 0.9988279938697815}"
145,"{'label': 'NEGATIVE', 'score': 0.9842058420181274}","{'label': 'POSITIVE', 'score': 0.9988194108009338}"
146,"{'label': 'POSITIVE', 'score': 0.987086296081543}","{'label': 'POSITIVE', 'score': 0.9985396862030029}"
147,"{'label': 'POSITIVE', 'score': 0.9785404205322266}","{'label': 'POSITIVE', 'score': 0.9986587762832642}"
148,"{'label': 'POSITIVE', 'score': 0.9813622832298279}","{'label': 'NEGATIVE', 'score': 0.9994919300079346}"
149,"{'label': 'POSITIVE', 'score': 0.9734305739402771}","{'label': 'POSITIVE', 'score': 0.9989264607429504}"
150,"{'label': 'POSITIVE', 'score': 0.9895931482315063}","{'label': 'POSITIVE', 'score': 0.9988921284675598}"
151,"{'label': 'POSITIVE', 'score': 0.9842358827590942}","{'label': 'NEGATIVE', 'score': 0.9882993698120117}"
152,"{'label': 'POSITIVE', 'score': 0.9756119251251221}","{'label': 'NEGATIVE', 'score': 0.9948121309280396}"
153,"{'label': 'POSITIVE', 'score': 0.9872666001319885}","{'label': 'POSITIVE', 'score': 0.9988652467727661}"
154,"{'label': 'POSITIVE', 'score': 0.9856249690055847}","{'label': 'POSITIVE', 'score': 0.9989047050476074}"
155,"{'label': 'NEGATIVE', 'score': 0.9753400087356567}","{'label': 'POSITIVE', 'score': 0.9988021850585938}"
156,"{'label': 'POSITIVE', 'score': 0.9928741455078125}","{'label': 'POSITIVE', 'score': 0.9986984729766846}"
157,"{'label': 'POSITIVE', 'score': 0.9816068410873413}","{'label': 'POSITIVE', 'score': 0.9986615180969238}"
158,"{'label': 'POSITIVE', 'score': 0.9848480820655823}","{'label': 'NEGATIVE', 'score': 0.999160647392273}"
159,"{'label': 'NEGATIVE', 'score': 0.9739621877670288}","{'label': 'POSITIVE', 'score': 0.9988481998443604}"
160,"{'label': 'POSITIVE', 'score': 0.7270452976226807}","{'label': 'POSITIVE', 'score': 0.9986795783042908}"
161,"{'label': 'POSITIVE', 'score': 0.9851298332214355}","{'label': 'POSITIVE', 'score': 0.9988734126091003}"
162,"{'label': 'POSITIVE', 'score': 0.9847518801689148}","{'label': 'NEGATIVE', 'score': 0.9988901019096375}"
163,"{'label': 'POSITIVE', 'score': 0.9492998719215393}","{'label': 'POSITIVE', 'score': 0.9988929629325867}"
164,"{'label': 'POSITIVE', 'score': 0.9812387228012085}","{'label': 'POSITIVE', 'score': 0.9988974332809448}"
165,"{'label': 'NEGATIVE', 'score': 0.8961836695671082}","{'label': 'POSITIVE', 'score': 0.997281551361084}"
166,"{'label': 'POSITIVE', 'score': 0.9854560494422913}","{'label': 'POSITIVE', 'score': 0.9989198446273804}"
167,"{'label': 'POSITIVE', 'score': 0.9903312921524048}","{'label': 'POSITIVE', 'score': 0.9987515211105347}"
168,"{'label': 'POSITIVE', 'score': 0.9846845269203186}","{'label': 'POSITIVE', 'score': 0.998578667640686}"
169,"{'label': 'POSITIVE', 'score': 0.9823035597801208}","{'label': 'NEGATIVE', 'score': 0.9895882606506348}"
170,"{'label': 'POSITIVE', 'score': 0.9769946336746216}","{'label': 'POSITIVE', 'score': 0.9988468885421753}"
171,"{'label': 'POSITIVE', 'score': 0.9775323867797852}","{'label': 'NEGATIVE', 'score': 0.9995059967041016}"
172,"{'label': 'POSITIVE', 'score': 0.9828328490257263}","{'label': 'POSITIVE', 'score': 0.9988549947738647}"
